fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36001,2018,Q1,1,8073,42951.0,32334.0,287.0,10330.0,5,0.0,Albany County,42.58824,-73.97401,,,,,,,307891.0,60904.0,12.923933362091985,5.02483021588809,15.213500881805576,2016,3.07891,90,30.038888888888888,10.628,38.911,0,77,47,2017,0,0,0,0,0,0,0,upstate,13950.066744399803
36003,2018,Q1,1,8073,5290.0,2529.0,14.0,350.0,2,2397.0,Allegany County,42.247853,-78.026153,,,,,,,47700.0,44085.0,17.07094143289039,5.140461215932914,16.79245283018868,2016,0.477,90,30.049444444444443,11.423,27.01,0,71,60,2017,0,0,0,0,0,0,0,upstate,11090.146750524109
36005,2018,Q1,1,8073,210214.0,74434.0,704.0,12646.0,10,122430.0,Bronx County,40.848711,-73.852939,,,,,,,1436785.0,35302.0,30.529351975308995,7.47878075007743,11.26981420323848,2016,14.36785,90,36.72,10.788,27.645,0,52,41,2017,0,0,0,0,0,1,0,nyc,14630.859871170704
36007,2018,Q1,1,8073,23818.0,15775.0,113.0,3563.0,3,4367.0,Broome County,42.161977,-75.830283,,,,,,,197381.0,47744.0,17.424558030230198,5.182363044061992,17.586292500291314,2016,1.97381,90,30.095000000000002,12.255,40.074,0,71,57,2017,0,0,0,0,0,0,0,upstate,12067.017595411919
36009,2018,Q1,1,8073,8308.0,7137.0,55.0,1116.0,1,0.0,Cattaraugus County,42.239099,-78.662332,,,,,,,78506.0,43884.0,17.46267870777494,5.868341273278475,17.07130665172089,2016,0.78506,90,29.862222222222222,13.859,34.53,0,73,69,2017,0,0,0,0,0,0,0,upstate,10582.63062695845
36011,2018,Q1,1,8073,6118.0,5359.0,51.0,708.0,1,0.0,Cayuga County,43.008546,-76.574587,,,,,,,78783.0,53114.0,11.38972323535722,5.128009849840702,16.864044273510785,2016,0.78783,90,32.38111111111111,12.18,33.101,0,69,63,2017,0,0,0,0,0,0,0,upstate,7765.634718149855
36013,2018,Q1,1,8073,10725.0,7561.0,49.0,1380.0,5,1735.0,Chautauqua County,42.304216,-79.407595,,,,,,,131748.0,43211.0,19.39811025374095,5.364787321249658,18.046573762030544,2016,1.31748,90,32.218888888888884,14.76,39.247,0,65,69,2017,0,0,0,0,0,0,0,upstate,8140.541032880955
36015,2018,Q1,1,8073,9699.0,7819.0,57.0,1823.0,2,0.0,Chemung County,42.148697,-76.752471,,,,,,,87742.0,49578.0,15.936105636102008,5.891135374165167,16.79013471313624,2016,0.87742,90,31.3,11.384,29.102,0,69,51,2017,0,0,0,0,0,0,0,upstate,11053.99922500057
36017,2018,Q1,1,8073,4312.0,,,,1,,Chenango County,42.478024,-75.602241,,,,,,,49286.0,46979.0,15.38715127539457,5.242868157286044,18.836992249320296,2016,0.49286,90,28.031666666666666,13.666,44.786,0,78,59,2017,0,0,0,0,0,0,0,upstate,8748.934788783832
36019,2018,Q1,1,8073,10914.0,9282.0,87.0,1545.0,1,0.0,Clinton County,44.752712,-73.705643,,,,,,,81505.0,50502.0,16.136929291280754,4.796024783755598,15.122998589043618,2016,0.81505,90,22.36277777777778,10.82,57.105000000000004,0,82,62,2017,0,0,0,0,0,0,0,upstate,13390.589534384393
36021,2018,Q1,1,8073,6349.0,5301.0,50.0,998.0,1,0.0,Columbia County,42.247696,-73.626718,,,,,,,61860.0,59916.0,12.699340402438006,4.321047526673133,20.68703524086647,2016,0.6186,90,31.598333333333333,12.159,33.404,0,70,44,2017,0,0,0,0,0,0,0,upstate,10263.49822179114
